,mRNA,methylation,miRNA,VCDN,VCDN
0,0.09208964556455612,0.09193364530801773,0.04243633523583412,0.32570895552635193,0.32570895552635193
1,1.4402512311935425,1.2856041193008423,0.03758612647652626,0.32379430532455444,0.32379430532455444
2,0.17900985479354858,0.1384689062833786,0.03471967577934265,0.3230268955230713,0.3230268955230713
3,0.13657011091709137,0.14519885182380676,0.03359675407409668,0.3226824700832367,0.3226824700832367
4,0.2913517653942108,0.2781330645084381,0.03285998851060867,0.32203003764152527,0.32203003764152527
5,0.1797434538602829,0.17392364144325256,0.03233373165130615,0.321826308965683,0.321826308965683
6,0.05311470478773117,0.054254334419965744,0.03209006413817406,0.32171234488487244,0.32171234488487244
7,0.06876597553491592,0.0666181892156601,0.030993735417723656,0.3220215439796448,0.3220215439796448
8,0.14549212157726288,0.127308189868927,0.030341649428009987,0.32161641120910645,0.32161641120910645
9,0.11757798492908478,0.10394404828548431,0.029192227870225906,0.3218694031238556,0.3218694031238556
10,0.055749863386154175,0.05816613882780075,0.02833441086113453,0.32201847434043884,0.32201847434043884
11,0.038861583918333054,0.03785106539726257,0.02779129333794117,0.3216421604156494,0.3216421604156494
12,0.057562194764614105,0.044171661138534546,0.02705421671271324,0.3217337429523468,0.3217337429523468
13,0.07181022316217422,0.05805685371160507,0.02681015431880951,0.32148057222366333,0.32148057222366333
14,0.06458904594182968,0.059463758021593094,0.026250509545207024,0.321122944355011,0.321122944355011
15,0.04753465577960014,0.05085015669465065,0.025807790458202362,0.3210737407207489,0.3210737407207489
16,0.03632262349128723,0.03873693197965622,0.025394678115844727,0.32073262333869934,0.32073262333869934
17,0.03859493508934975,0.034830909222364426,0.024664420634508133,0.3204931318759918,0.3204931318759918
18,0.04644082859158516,0.03827979415655136,0.024032948538661003,0.3199463188648224,0.3199463188648224
19,0.050974927842617035,0.04289489984512329,0.02376496233046055,0.3197542726993561,0.3197542726993561
20,0.045861635357141495,0.045046258717775345,0.023164445534348488,0.31925299763679504,0.31925299763679504
21,0.038785453885793686,0.04116914048790932,0.022807961329817772,0.3191602826118469,0.3191602826118469
22,0.03371722623705864,0.034519121050834656,0.022436359897255898,0.3185001015663147,0.3185001015663147
23,0.034092966467142105,0.0325043611228466,0.022319575771689415,0.31864678859710693,0.31864678859710693
24,0.03670477494597435,0.03198903426527977,0.021591510623693466,0.3182404041290283,0.3182404041290283
25,0.03863039240241051,0.03249480202794075,0.021099409088492393,0.31777042150497437,0.31777042150497437
26,0.038600265979766846,0.03422825038433075,0.020925965160131454,0.31728821992874146,0.31728821992874146
27,0.03480500355362892,0.035277388989925385,0.02084619551897049,0.3166201710700989,0.3166201710700989
28,0.032146066427230835,0.03282022848725319,0.020377548411488533,0.31617480516433716,0.31617480516433716
29,0.030909838154911995,0.030881598591804504,0.01979627087712288,0.31531551480293274,0.31531551480293274
30,0.03159439191222191,0.028677361086010933,0.019701039418578148,0.31471073627471924,0.31471073627471924
31,0.03273044526576996,0.0293094702064991,0.019335510209202766,0.3136894404888153,0.3136894404888153
32,0.03296519070863724,0.028915852308273315,0.018827788531780243,0.31287768483161926,0.31287768483161926
33,0.032416608184576035,0.02917054295539856,0.018582232296466827,0.3125157952308655,0.3125157952308655
34,0.030247891321778297,0.029090866446495056,0.018411781638860703,0.3115701973438263,0.3115701973438263
35,0.029643738642334938,0.028121134266257286,0.01803862303495407,0.31090280413627625,0.31090280413627625
36,0.028688741847872734,0.02732222154736519,0.017970390617847443,0.3103976249694824,0.3103976249694824
37,0.029118739068508148,0.02664688415825367,0.01751350611448288,0.30965009331703186,0.30965009331703186
38,0.029021549969911575,0.025499744340777397,0.017382903024554253,0.3088822066783905,0.3088822066783905
39,0.02953590825200081,0.025853058323264122,0.01709478162229061,0.3081929087638855,0.3081929087638855
40,0.02880938909947872,0.02685699425637722,0.016934847459197044,0.3068588674068451,0.3068588674068451
41,0.02775813452899456,0.02623809315264225,0.016848301514983177,0.30597248673439026,0.30597248673439026
42,0.027527105063199997,0.02562384121119976,0.016719335690140724,0.30434349179267883,0.30434349179267883
43,0.0265317615121603,0.025398176163434982,0.016189806163311005,0.30324500799179077,0.30324500799179077
44,0.026884734630584717,0.02467413805425167,0.016292477026581764,0.30241063237190247,0.30241063237190247
45,0.02644672431051731,0.024550696834921837,0.016043854877352715,0.30130326747894287,0.30130326747894287
46,0.02619250677525997,0.02431482821702957,0.015931356698274612,0.30041608214378357,0.30041608214378357
47,0.02601817436516285,0.0241867508739233,0.015887316316366196,0.2992554306983948,0.2992554306983948
48,0.025639932602643967,0.023525942116975784,0.015441175550222397,0.2978280186653137,0.2978280186653137
49,0.02566349320113659,0.023400595411658287,0.0151562774553895,0.2968597710132599,0.2968597710132599
50,0.025073057040572166,0.022816743701696396,0.015260706655681133,0.295795202255249,0.295795202255249
51,0.0245917197316885,0.02275705523788929,0.015015017241239548,0.2945558726787567,0.2945558726787567
52,0.024780526757240295,0.02286515384912491,0.015130055136978626,0.29348936676979065,0.29348936676979065
53,0.02464519441127777,0.021982092410326004,0.01486880425363779,0.29216963052749634,0.29216963052749634
54,0.024415485560894012,0.022275732830166817,0.014559063129127026,0.2903187870979309,0.2903187870979309
55,0.0239024106413126,0.02165241912007332,0.014733787626028061,0.2888997197151184,0.2888997197151184
56,0.023471377789974213,0.02193470299243927,0.01430221926420927,0.28720584511756897,0.28720584511756897
57,0.023227151483297348,0.021417364478111267,0.01423520129173994,0.28564852476119995,0.28564852476119995
58,0.022865327075123787,0.02131774090230465,0.014121771790087223,0.28411033749580383,0.28411033749580383
59,0.02298910543322563,0.021445035934448242,0.014043962582945824,0.28269442915916443,0.28269442915916443
60,0.022704990580677986,0.021402107551693916,0.014163786545395851,0.28147223591804504,0.28147223591804504
61,0.021835003048181534,0.020750802010297775,0.013629205524921417,0.2793859541416168,0.2793859541416168
62,0.02264021895825863,0.02042957954108715,0.013700645416975021,0.2773369550704956,0.2773369550704956
63,0.02195611409842968,0.020526282489299774,0.013520198874175549,0.2767446041107178,0.2767446041107178
64,0.02179352566599846,0.02023186907172203,0.013431304134428501,0.2747754454612732,0.2747754454612732
65,0.02150862291455269,0.019901160150766373,0.013321950100362301,0.2724277973175049,0.2724277973175049
66,0.021300269290804863,0.02006586082279682,0.013235806487500668,0.27072733640670776,0.27072733640670776
67,0.020990924909710884,0.019877562299370766,0.013082842342555523,0.2690931260585785,0.2690931260585785
