,mRNA,methylation,miRNA,VCDN
0,0.08952691406011581,0.09139963239431381,0.03756002336740494,0.3275412917137146
1,1.643834114074707,1.4392921924591064,0.03383776545524597,0.32352548837661743
2,0.20443888008594513,0.19636760652065277,0.03288459777832031,0.32244107127189636
3,0.12198898196220398,0.13502679765224457,0.03197475150227547,0.32228562235832214
4,0.3096162974834442,0.2956032454967499,0.031418245285749435,0.32232555747032166
5,0.20399972796440125,0.20053455233573914,0.030945299193263054,0.3226340711116791
6,0.058721840381622314,0.06934204697608948,0.029975848272442818,0.32339370250701904
7,0.07258955389261246,0.05636691674590111,0.02926141768693924,0.32433220744132996
8,0.15624630451202393,0.12784357368946075,0.028375448659062386,0.3241594731807709
9,0.12276783585548401,0.12724415957927704,0.027810966596007347,0.32321420311927795
10,0.06050895154476166,0.0734817236661911,0.02720051072537899,0.3225591778755188
11,0.038540784269571304,0.040300123393535614,0.026634229347109795,0.3222375810146332
12,0.05587182566523552,0.039952367544174194,0.026387430727481842,0.32226860523223877
13,0.07400262355804443,0.054733775556087494,0.025862624868750572,0.32200175523757935
14,0.0675574466586113,0.05988209322094917,0.025395315140485764,0.3220226764678955
15,0.04751991853117943,0.05454500392079353,0.02491021528840065,0.32185232639312744
16,0.036148153245449066,0.041167598217725754,0.024297628551721573,0.32169702649116516
17,0.03733401000499725,0.03524131700396538,0.023560330271720886,0.3214333951473236
18,0.04776447266340256,0.03667495772242546,0.02337653376162052,0.3211444318294525
19,0.051897574216127396,0.04253809154033661,0.022960731759667397,0.3210615813732147
20,0.047083526849746704,0.04642525687813759,0.022537237033247948,0.3206808269023895
21,0.038684602826833725,0.04240108281373978,0.022496415302157402,0.32052212953567505
22,0.033638421446084976,0.03668226674199104,0.021726399660110474,0.32016053795814514
23,0.033400360494852066,0.03211016207933426,0.021475814282894135,0.3200084865093231
24,0.03650246933102608,0.03204568848013878,0.020901307463645935,0.31970980763435364
25,0.03809872269630432,0.03327646479010582,0.020664259791374207,0.3194059133529663
26,0.0366942323744297,0.03576784208416939,0.020599866285920143,0.31895285844802856
27,0.035195544362068176,0.03536151722073555,0.01997631974518299,0.3183411657810211
28,0.030924160033464432,0.03394215553998947,0.01981085166335106,0.3176027238368988
29,0.03074292279779911,0.03069419041275978,0.0193621926009655,0.3169332444667816
30,0.0315888412296772,0.029874272644519806,0.01929057575762272,0.3164096772670746
31,0.03231469914317131,0.02940579131245613,0.01899026334285736,0.3157958984375
32,0.032586127519607544,0.029891518875956535,0.01858472265303135,0.31512999534606934
33,0.03132732957601547,0.030578481033444405,0.018528927117586136,0.3145765960216522
34,0.029699841514229774,0.03010643646121025,0.017897648736834526,0.3140935003757477
35,0.028344299644231796,0.029003802686929703,0.01781054586172104,0.3135899305343628
36,0.028517236933112144,0.027913732454180717,0.017528699710965157,0.3135393261909485
37,0.02802516333758831,0.026959067210555077,0.017276987433433533,0.31266531348228455
38,0.02848326973617077,0.02653580531477928,0.016968926414847374,0.31208211183547974
39,0.02875170111656189,0.026527829468250275,0.017022958025336266,0.3113916218280792
40,0.028224626556038857,0.027029959484934807,0.016568470746278763,0.3106115758419037
41,0.02715749479830265,0.026486128568649292,0.01647399738430977,0.30956631898880005
42,0.02580033801496029,0.0265748742967844,0.0163514856249094,0.30873575806617737
43,0.02532048337161541,0.025241022929549217,0.015908081084489822,0.3076383173465729
44,0.02572564035654068,0.025141987949609756,0.015764765441417694,0.30660539865493774
45,0.025709303095936775,0.024522975087165833,0.015791621059179306,0.3056766986846924
46,0.02546052634716034,0.024489259347319603,0.015515967272222042,0.3047288656234741
47,0.025038957595825195,0.02462903968989849,0.015408514998853207,0.3037068843841553
48,0.024798590689897537,0.025060879066586494,0.01515708677470684,0.3027358949184418
49,0.024272505193948746,0.023895317688584328,0.015058450400829315,0.3019217550754547
